"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 2 21 "GO:0003823" "antigen binding" 1
0 1 5 9 "GO:0003845" "11-beta-hydroxysteroid dehydrogenase [NAD(P)] activity" 1
0 1 2 5 "GO:0003846;GO:0004144" "2-acylglycerol O-acyltransferase activity" 1
0 1 2 20 "GO:0003851;GO:0050488" "2-hydroxyacylsphingosine 1-beta-galactosyltransferase activity" 1
0 1 4 7 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 1
0 1 4 27 "GO:0003887;GO:0034061" "DNA polymerase activity" 1
0 1 5 5 "GO:0003896" "DNA primase activity" 1
0 1 4 40 "GO:0003899;GO:0034062;GO:0097747" "5'-3' RNA polymerase activity" 1
0 1 3 10 "GO:0003906" "DNA-(apurinic or apyrimidinic site) endonuclease activity" 1
0 1 4 5 "GO:0003909;GO:0003910" "DNA ligase (ATP) activity" 1
0 1 2 8 "GO:0003916" "DNA topoisomerase activity" 1
0 1 3 5 "GO:0003923" "GPI-anchor transamidase activity" 1
0 1 2 151 "GO:0003924" "GTPase activity" 1
0 1 2 24 "GO:0003943" "N-acetylgalactosamine-4-sulfatase activity" 1
0 1 2 5 "GO:0003948" "N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity" 1
0 1 2 8 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 1
0 1 5 23 "GO:0003954;GO:0008137;GO:0050136" "NADH dehydrogenase (quinone) activity" 1
0 1 2 12 "GO:0003958;GO:0016653" "oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor" 1
0 1 5 5 "GO:0003960" "NADPH:quinone reductase activity" 1
0 1 2 5 "GO:0003963" "RNA-3'-phosphate cyclase activity" 1
0 1 4 5 "GO:0003978" "UDP-glucose 4-epimerase activity" 1
0 1 2 5 "GO:0003987" "acetate-CoA ligase activity" 1
0 1 6 7 "GO:0003988" "acetyl-CoA C-acyltransferase activity" 1
0 1 6 15 "GO:0003993" "acid phosphatase activity" 1
0 1 4 8 "GO:0003995" "acyl-CoA dehydrogenase activity" 1
0 1 2 6 "GO:0004000" "adenosine deaminase activity" 1
0 0.035602274773581 3 42 "GO:0004003" "ATP-dependent DNA helicase activity" 1
0 1 2 9 "GO:0004016" "adenylate cyclase activity" 1
0 1 5 6 "GO:0004021;GO:0047635" "alanine-oxo-acid transaminase activity" 1
0 1 2 13 "GO:0004029" "aldehyde dehydrogenase (NAD) activity" 1
0 1 2 9 "GO:0004033;GO:0008106" "aldo-keto reductase (NADP) activity" 1
0 1 5 7 "GO:0004051;GO:0004052;GO:0016165;GO:0047977;GO:0050473" "arachidonate 5-lipoxygenase activity" 1
0 1 2 17 "GO:0004065" "arylsulfatase activity" 1
0 1 5 13 "GO:0004089" "carbonate dehydratase activity" 1
0 1 6 15 "GO:0004112;GO:0004114" "cyclic-nucleotide phosphodiesterase activity" 1
0 1 2 7 "GO:0004115" "3',5'-cyclic-AMP phosphodiesterase activity" 1
0 1 2 6 "GO:0004128" "cytochrome-b5 reductase activity, acting on NAD(P)H" 1
0 1 6 7 "GO:0004129;GO:0015002;GO:0016676;GO:0016675" "oxidoreductase activity, acting on a heme group of donors" 1
0 1 2 8 "GO:0004143" "diacylglycerol kinase activity" 1
0 1 3 6 "GO:0004169" "dolichyl-phosphate-mannose-protein mannosyltransferase activity" 1
0 0.61559527790484 5 289 "GO:0004175" "endopeptidase activity" 1
0 1 3 5 "GO:0004176" "ATP-dependent peptidase activity" 1
0 1 2 42 "GO:0004177" "aminopeptidase activity" 1
0 1 2 50 "GO:0004180" "carboxypeptidase activity" 1
0 1 7 34 "GO:0004181" "metallocarboxypeptidase activity" 1
0 1 6 9 "GO:0004185;GO:0070008" "serine-type carboxypeptidase activity" 1
0 1 2 10 "GO:0004190" "aspartic-type endopeptidase activity" 1
0 0.0655913862257001 2 59 "GO:0004197" "cysteine-type endopeptidase activity" 1
0 0.0350616120813712 3 5 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 1
0 1 -1 37 "GO:0004221" "obsolete ubiquitin thiolesterase activity" 1
0 1 2 120 "GO:0004222" "metalloendopeptidase activity" 1
0 1 2 75 "GO:0004252" "serine-type endopeptidase activity" 1
0 1 5 5 "GO:0004300" "enoyl-CoA hydratase activity" 1
0 1 2 6 "GO:0004301" "epoxide hydrolase activity" 1
0 1 3 5 "GO:0004311" "farnesyltranstransferase activity" 1
0 1 6 6 "GO:0004321" "fatty-acyl-CoA synthase activity" 1
0 0.101610142476719 2 15 "GO:0004322;GO:0016724;GO:0016722" "oxidoreductase activity, oxidizing metal ions" 1
0 1 9 9 "GO:0004346;GO:0050309;GO:0008131" "glucose-6-phosphatase activity" 1
0 1 2 7 "GO:0004364" "glutathione transferase activity" 1
0 1 3 19 "GO:0004383" "guanylate cyclase activity" 1
0 1 3 12 "GO:0004385;GO:0050145" "nucleoside monophosphate kinase activity" 1
0 0.24133418851858 2 132 "GO:0004386;GO:0008026;GO:0070035" "helicase activity" 1
0 1 2 18 "GO:0004402;GO:0061733;GO:0034212" "peptide N-acetyltransferase activity" 1
0 1 2 17 "GO:0004407;GO:0033558" "protein deacetylase activity" 1
0 1 2 5 "GO:0004430" "1-phosphatidylinositol 4-kinase activity" 1
0 1 2 5 "GO:0004435" "phosphatidylinositol phospholipase C activity" 1
0 1 2 9 "GO:0004438;GO:0052744" "phosphatidylinositol monophosphate phosphatase activity" 1
0 1 3 5 "GO:0004445;GO:0046030" "inositol-polyphosphate 5-phosphatase activity" 1
0 1 5 6 "GO:0004451" "isocitrate lyase activity" 1
0 1 2 5 "GO:0004462" "lactoylglutathione lyase activity" 1
0 1 2 5 "GO:0004468" "lysine N-acetyltransferase activity, acting on acetyl phosphate as donor" 1
0 1 3 60 "GO:0004497" "monooxygenase activity" 1
0 1 3 9 "GO:0004500;GO:0016715" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen" 1
0 0.533395296373556 2 106 "GO:0004518" "nuclease activity" 1
0 1 3 51 "GO:0004519" "endonuclease activity" 1
0 1 2 24 "GO:0004520" "endodeoxyribonuclease activity" 1
0 1 2 22 "GO:0004521;GO:0016891" "endoribonuclease activity" 1
0 1 3 6 "GO:0004523" "RNA-DNA hybrid ribonuclease activity" 1
0 1 4 6 "GO:0004526;GO:0004549" "tRNA-specific ribonuclease activity" 1
0 0.335305013958457 2 57 "GO:0004527" "exonuclease activity" 1
0 1 3 16 "GO:0004528;GO:0004551" "phosphodiesterase I activity" 1
0 1 4 12 "GO:0004529;GO:0008296;GO:0016895" "exodeoxyribonuclease activity" 1
0 0.145497066159819 4 22 "GO:0004532;GO:0016896" "exoribonuclease activity" 1
0 1 3 36 "GO:0004536" "deoxyribonuclease activity" 1
0 0.27019424040168 3 44 "GO:0004540" "ribonuclease activity" 1
0 0.189017360298986 4 112 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 1
0 1 5 7 "GO:0004555;GO:0015927" "trehalase activity" 1
0 1 6 5 "GO:0004557;GO:0008456" "alpha-galactosidase activity" 1
0 1 7 16 "GO:0004558;GO:0090599;GO:0015926" "glucosidase activity" 1
0 1 2 12 "GO:0004559;GO:0015923" "mannosidase activity" 1
0 1 5 14 "GO:0004560;GO:0015928;GO:0042806" "fucosidase activity" 1
0 0.00490297415808807 5 15 "GO:0004568" "chitinase activity" 1
0 1 2 6 "GO:0004576" "oligosaccharyl transferase activity" 1
0 0.169625001234403 2 26 "GO:0004601;GO:0016684" "peroxidase activity" 1
0 1 4 11 "GO:0004602" "glutathione peroxidase activity" 1
0 1 5 61 "GO:0004620" "phospholipase activity" 1
0 1 2 16 "GO:0004622" "lysophospholipase activity" 1
0 1 2 33 "GO:0004623" "phospholipase A2 activity" 1
0 1 6 7 "GO:0004629" "phospholipase C activity" 1
0 1 2 6 "GO:0004645" "phosphorylase activity" 1
0 1 2 7 "GO:0004652" "polynucleotide adenylyltransferase activity" 1
0 1 2 8 "GO:0004653" "polypeptide N-acetylgalactosaminyltransferase activity" 1
0 1 2 14 "GO:0004656;GO:0019798;GO:0031545;GO:0031543" "peptidyl-proline dioxygenase activity" 1
0 1 2 14 "GO:0004659" "prenyltransferase activity" 1
0 1 2 7 "GO:0004661;GO:0008318;GO:0004663" "protein geranylgeranyltransferase activity" 1
0 0.821786678797295 3 432 "GO:0004672;GO:0016301;GO:0016773" "kinase activity" 1
0 1 2 234 "GO:0004674" "protein serine/threonine kinase activity" 1
0 1 3 5 "GO:0004677" "DNA-dependent protein kinase activity" 1
0 1 2 16 "GO:0004683" "calmodulin-dependent protein kinase activity" 1
0 1 3 9 "GO:0004690" "cyclic nucleotide-dependent protein kinase activity" 1
0 1 4 6 "GO:0004691" "cAMP-dependent protein kinase activity" 1
0 1 3 17 "GO:0004693;GO:0097472" "cyclin-dependent protein serine/threonine kinase activity" 1
0 1 3 9 "GO:0004697" "protein kinase C activity" 1
0 1 -1 40 "GO:0004702" "obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity" 1
0 1 3 12 "GO:0004707" "MAP kinase activity" 1
0 1 2 14 "GO:0004708" "MAP kinase kinase activity" 1
0 1 3 9 "GO:0004709" "MAP kinase kinase kinase activity" 1
0 1 2 19 "GO:0004712" "protein serine/threonine/tyrosine kinase activity" 1
0 0.141240662058307 2 93 "GO:0004713" "protein tyrosine kinase activity" 1
0 0.36340271777363 4 63 "GO:0004714;GO:0019199" "transmembrane receptor protein kinase activity" 1
0 1 3 11 "GO:0004715" "non-membrane spanning protein tyrosine kinase activity" 1
0 1 -1 9 "GO:0004716" "obsolete signal transducer, downstream of receptor, with protein tyrosine kinase activity" 1
0 1 3 106 "GO:0004721" "phosphoprotein phosphatase activity" 1
0 1 2 39 "GO:0004722" "protein serine/threonine phosphatase activity" 1
0 1 2 41 "GO:0004725" "protein tyrosine phosphatase activity" 1
0 1 2 8 "GO:0004726" "non-membrane spanning protein tyrosine phosphatase activity" 1
0 1 2 29 "GO:0004745" "retinol dehydrogenase activity" 1
0 1 2 5 "GO:0004766" "spermidine synthase activity" 1
0 1 5 25 "GO:0004771;GO:0004806;GO:0047619" "triglyceride lipase activity" 1
0 1 7 5 "GO:0004778;GO:0047963;GO:0052815;GO:0052816;GO:0052817" "long-chain acyl-CoA hydrolase activity" 1
0 1 2 8 "GO:0004784;GO:0016721" "superoxide dismutase activity" 1
0 1 2 10 "GO:0004796" "thromboxane-A synthase activity" 1
0 1 2 7 "GO:0004800;GO:0033798" "thyroxine 5'-deiodinase activity" 1
0 0.21025299155831 2 33 "GO:0004812;GO:0016875" "aminoacyl-tRNA ligase activity" 1
0 1 3 5 "GO:0004817" "cysteine-tRNA ligase activity" 1
0 1 3 11 "GO:0004835" "tubulin-tyrosine ligase activity" 1
0 1 5 5 "GO:0004839" "ubiquitin activating enzyme activity" 1
0 0.555013007140102 2 259 "GO:0004842;GO:0019787;GO:0016879;GO:0016881" "ligase activity, forming carbon-nitrogen bonds" 1
0 1 4 49 "GO:0004843;GO:0036459;GO:0019783;GO:0101005" "ubiquitin-like protein-specific protease activity" 1
0 1 5 6 "GO:0004844;GO:0097506" "uracil DNA N-glycosylase activity" 1
0 1 4 12 "GO:0004854;GO:0016726" "oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor" 1
0 1 3 126 "GO:0004857" "enzyme inhibitor activity" 1
0 1 2 36 "GO:0004860;GO:0019210" "kinase inhibitor activity" 1
0 1 4 8 "GO:0004861" "cyclin-dependent protein serine/threonine kinase inhibitor activity" 1
0 1 5 7 "GO:0004864" "protein phosphatase inhibitor activity" 1
0 1 5 46 "GO:0004866;GO:0030414;GO:0061135" "endopeptidase regulator activity" 1
0 1 2 9 "GO:0004867" "serine-type endopeptidase inhibitor activity" 1
0 1 2 16 "GO:0004869" "cysteine-type endopeptidase inhibitor activity" 1
0 0.101610142476719 3 15 "GO:0004879;GO:0098531" "nuclear receptor activity" 1
0 0.460745837413826 2 352 "GO:0004888;GO:0038023" "signaling receptor activity" 1
0 1 2 10 "GO:0004890;GO:0005237" "GABA-A receptor activity" 1
0 0.581511478869255 4 121 "GO:0004930" "G protein-coupled receptor activity" 1
0 1 3 5 "GO:0004935;GO:0004939" "adrenergic receptor activity" 1
0 1 5 7 "GO:0004965" "G protein-coupled GABA receptor activity" 1
0 1 2 7 "GO:0004969" "histamine receptor activity" 1
0 1 2 8 "GO:0004983" "neuropeptide Y receptor activity" 1
0 1 6 5 "GO:0004992;GO:0005017;GO:0005018;GO:0005019;GO:0036326;GO:0036327;GO:0036332" "VEGF-A-activated receptor activity" 1
0 1 6 13 "GO:0005001;GO:0019198" "transmembrane receptor protein tyrosine phosphatase activity" 1
0 1 5 6 "GO:0005003;GO:0005004;GO:0005005;GO:0097161" "ephrin receptor activity" 1
0 1 5 11 "GO:0005007" "fibroblast growth factor-activated receptor activity" 1
0 1 5 7 "GO:0005021" "vascular endothelial growth factor-activated receptor activity" 1
0 1 3 18 "GO:0005041" "low-density lipoprotein particle receptor activity" 1
0 1 3 12 "GO:0005042" "netrin receptor activity" 1
0 1 2 15 "GO:0005044" "scavenger receptor activity" 1
0 1 3 5 "GO:0005047" "signal recognition particle binding" 1
0 1 2 14 "GO:0005048" "signal sequence binding" 1
0 1 -1 66 "GO:0005057" "obsolete signal transducer activity, downstream of receptor" 1
0 0.0419280049085585 2 6 "GO:0005068" "transmembrane receptor protein tyrosine kinase adaptor activity" 1
0 0.157645654941698 2 24 "GO:0005070" "SH3/SH2 adaptor activity" 1
0 1 2 6 "GO:0005072" "transforming growth factor beta receptor, cytoplasmic mediator activity" 1
0 1 2 5 "GO:0005078" "MAP-kinase scaffold activity" 1
0 0.126951724757198 2 19 "GO:0005080" "protein kinase C binding" 1
0 1 2 97 "GO:0005085" "guanyl-nucleotide exchange factor activity" 1
0 1 5 9 "GO:0005086" "ARF guanyl-nucleotide exchange factor activity" 1
0 1 2 6 "GO:0005087" "Ran guanyl-nucleotide exchange factor activity" 1
0 1 3 64 "GO:0005088" "Ras guanyl-nucleotide exchange factor activity" 1
0 1 2 28 "GO:0005089" "Rho guanyl-nucleotide exchange factor activity" 1
0 1 2 9 "GO:0005095" "GTPase inhibitor activity" 1
0 1 2 96 "GO:0005096" "GTPase activator activity" 1
0 0.547667167132081 2 400 "GO:0005102" "signaling receptor binding" 1
0 1 2 5 "GO:0005104" "fibroblast growth factor receptor binding" 1
0 1 5 25 "GO:0005109" "frizzled binding" 1
0 1 2 19 "GO:0005112" "Notch binding" 1
0 0.0951629979221441 4 14 "GO:0005113" "patched binding" 1
0 1 4 7 "GO:0005123" "death receptor binding" 1
0 1 4 25 "GO:0005125" "cytokine activity" 1
0 1 2 47 "GO:0005126" "cytokine receptor binding" 1
0 1 2 10 "GO:0005154" "epidermal growth factor receptor binding" 1
0 0.0487465274589552 2 7 "GO:0005158" "insulin receptor binding" 1
0 1 5 10 "GO:0005160" "transforming growth factor beta receptor binding" 1
0 1 2 5 "GO:0005161" "platelet-derived growth factor receptor binding" 1
0 1 2 11 "GO:0005172" "vascular endothelial growth factor receptor binding" 1
0 1 2 43 "GO:0005178" "integrin binding" 1
0 0.707270844281107 1 342 "GO:0005198" "structural molecule activity" 1
0 1 2 54 "GO:0005200" "structural constituent of cytoskeleton" 1
0 1 2 56 "GO:0005201" "extracellular matrix structural constituent" 1
0 1 5 26 "GO:0005217" "intracellular ligand-gated ion channel activity" 1
0 0.0821324489863934 4 12 "GO:0005227" "calcium activated cation channel activity" 1
0 0.227062848756565 5 36 "GO:0005230" "extracellular ligand-gated ion channel activity" 1
0 0.169625001234403 2 26 "GO:0005231" "excitatory extracellular ligand-gated ion channel activity" 1
0 1 3 5 "GO:0005242" "inward rectifier potassium channel activity" 1
0 0.0312439179276869 4 97 "GO:0005244;GO:0022832;GO:0022843" "voltage-gated channel activity" 1
0 0.187281734100645 2 29 "GO:0005245" "voltage-gated calcium channel activity" 1
0 1 2 19 "GO:0005246" "calcium channel regulator activity" 1
0 1 2 25 "GO:0005248" "voltage-gated sodium channel activity" 1
0 0.0253870406749393 3 35 "GO:0005249;GO:0005267" "potassium channel activity" 1
0 0.108012280786585 2 16 "GO:0005251" "delayed rectifier potassium channel activity" 1
0 1 4 27 "GO:0005253;GO:0005254" "anion channel activity" 1
0 1 5 41 "GO:0005272" "sodium channel activity" 1
0 1 3 7 "GO:0005275;GO:0015105;GO:0015204" "urea transmembrane transporter activity" 1
0 1 2 33 "GO:0005277;GO:1901375;GO:0005294;GO:0015187;GO:0015193;GO:0015375;GO:0005295" "acetylcholine transmembrane transporter activity" 1
0 1 5 50 "GO:0005283;GO:0005416;GO:0005328" "amino acid:cation symporter activity" 1
0 1 4 40 "GO:0005310" "dicarboxylic acid transmembrane transporter activity" 1
0 1 2 27 "GO:0005313;GO:0015172;GO:0015183" "acidic amino acid transmembrane transporter activity" 1
0 1 2 14 "GO:0005314;GO:0015501" "glutamate:sodium symporter activity" 1
0 1 2 6 "GO:0005315" "inorganic phosphate transmembrane transporter activity" 1
0 1 3 8 "GO:0005316" "high-affinity inorganic phosphate:sodium symporter activity" 1
0 1 2 49 "GO:0005319" "lipid transporter activity" 1
0 1 5 15 "GO:0005324;GO:0015245" "fatty acid transmembrane transporter activity" 1
0 1 2 88 "GO:0005326;GO:0015179" "L-amino acid transmembrane transporter activity" 1
0 1 2 8 "GO:0005337" "nucleoside transmembrane transporter activity" 1
0 1 3 7 "GO:0005338;GO:0015165" "pyrimidine nucleotide-sugar transmembrane transporter activity" 1
0 1 3 237 "GO:0005342;GO:0046943;GO:0008514" "organic anion transmembrane transporter activity" 1
0 1 5 58 "GO:0005343" "organic acid:sodium symporter activity" 1
0 1 2 6 "GO:0005345" "purine nucleobase transmembrane transporter activity" 1
0 1 2 7 "GO:0005351" "carbohydrate:proton symporter activity" 1
0 1 7 6 "GO:0005353;GO:0042947;GO:0015154;GO:0015157" "fructose transmembrane transporter activity" 1
0 1 7 9 "GO:0005355;GO:0015149" "glucose transmembrane transporter activity" 1
0 1 4 9 "GO:0005372;GO:0015250" "water transmembrane transporter activity" 1
0 0.0555175065633292 6 8 "GO:0005375" "copper ion transmembrane transporter activity" 1
0 0.120682767329457 2 18 "GO:0005381" "iron ion transmembrane transporter activity" 1
0 1 2 21 "GO:0005385" "zinc ion transmembrane transporter activity" 1
0 1 2 6 "GO:0005388" "calcium-transporting ATPase activity" 1
0 1 3 17 "GO:0005402" "carbohydrate:cation symporter activity" 1
0 1 2 17 "GO:0005436;GO:0015114" "phosphate ion transmembrane transporter activity" 1
0 1 5 9 "GO:0005451;GO:0015299" "solute:proton antiporter activity" 1
0 1 2 7 "GO:0005452" "inorganic anion exchanger activity" 1
0 1 2 5 "GO:0005459" "UDP-galactose transmembrane transporter activity" 1
0 1 3 5 "GO:0005462" "UDP-N-acetylglucosamine transmembrane transporter activity" 1
0 1 3 11 "GO:0005484" "SNAP receptor activity" 1
0 0.325671878788047 3 55 "GO:0005496" "steroid binding" 1
0 1 4 7 "GO:0005501;GO:0019840" "isoprenoid binding" 1
0 1 4 20 "GO:0005504" "fatty acid binding" 1
0 1 2 44 "GO:0005506" "iron ion binding" 1
0 1 5 39 "GO:0005507" "copper ion binding" 1
0 0.0460167169663862 3 191 "GO:0005509" "calcium ion binding" 1
0 1 2 78 "GO:0005516" "calmodulin binding" 1
0 1 2 19 "GO:0005518" "collagen binding" 1
0 1 2 7 "GO:0005522" "profilin binding" 1
0 0.909120575624658 3 328 "GO:0005524;GO:0032559;GO:0030554" "adenyl nucleotide binding" 1
0 1 2 161 "GO:0005525;GO:0032561;GO:0019001" "guanyl nucleotide binding" 1
0 1 4 10 "GO:0005527;GO:0005528" "FK506 binding" 1
0 1 4 10 "GO:0005536" "glucose binding" 1
0 1 4 14 "GO:0005537" "mannose binding" 1
0 1 2 83 "GO:0005539" "glycosaminoglycan binding" 1
0 1 2 5 "GO:0005540" "hyaluronic acid binding" 1
0 1 3 7 "GO:0005542" "folic acid binding" 1
0 1 3 168 "GO:0005543" "phospholipid binding" 1
0 1 2 38 "GO:0005544" "calcium-dependent phospholipid binding" 1
0 1 5 15 "GO:0005545" "1-phosphatidylinositol binding" 1
0 1 2 19 "GO:0005546" "phosphatidylinositol-4,5-bisphosphate binding" 1
0 1 2 23 "GO:0005547" "phosphatidylinositol-3,4,5-trisphosphate binding" 1
0 1 3 14 "GO:0005548" "phospholipid transporter activity" 1
0 0.232587855381062 2 37 "GO:0008013" "beta-catenin binding" 1
0 1 5 145 "GO:0008017;GO:0015631" "tubulin binding" 1
