name	term	lev	seq	value
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa26257	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa26315	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa26451	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa26546	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa26552	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa26554	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa26555	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa26551	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa26840	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa26839	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa27083	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa20110	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa20189	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa20537	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa20627	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa20974	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa22880	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa22882	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa23034	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa23076	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa23147	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa23189	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa23190	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa00810	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa00889	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa29940	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa30002	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa25429	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa23821	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa23933	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa24335	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa24337	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa27319	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa27420	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa30436	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa30437	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa30556	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa34625	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa34623	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa34774	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa34775	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa35077	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa33702	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa33703	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa33848	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa32897	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa01170	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa01195	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa01220	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa01287	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa01422	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa01423	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa01862	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa01986	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa03361	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa03409	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa03414	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa03423	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa03422	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa03476	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa03477	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa03746	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa03958	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa03980	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa04093	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa04210	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa07380	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa07802	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa07801	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa08181	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa24476	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa24539	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa24614	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa24640	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa24666	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa24698	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa24829	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa24979	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa25188	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa25220	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa16418	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa16436	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa17135	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa02271	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa02875	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa02869	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa03044	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa03116	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa31027	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa31025	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa31020	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa31131	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa31287	0
"UDP-galactose transmembrane transporter activity"	GO:0005459	2	Mcavernosa13182	0
"UDP-galactose transmembrane transporter activity"	GO:0005459	2	Mcavernosa13181	0
"UDP-galactose transmembrane transporter activity"	GO:0005459	2	Mcavernosa27277	0
"UDP-galactose transmembrane transporter activity"	GO:0005459	2	Mcavernosa29252	0
"UDP-galactose transmembrane transporter activity"	GO:0005459	2	Mcavernosa34039	0
"coenzyme binding"	GO:0050662	3	Mcavernosa04541	0
"coenzyme binding"	GO:0050662	3	Mcavernosa04661	0
"coenzyme binding"	GO:0050662	3	Mcavernosa04659	0
"coenzyme binding"	GO:0050662	3	Mcavernosa04660	0
"coenzyme binding"	GO:0050662	3	Mcavernosa04797	0
"coenzyme binding"	GO:0050662	3	Mcavernosa04798	0
"coenzyme binding"	GO:0050662	3	Mcavernosa04799	0
"coenzyme binding"	GO:0050662	3	Mcavernosa05135	0
"coenzyme binding"	GO:0050662	3	Mcavernosa05501	0
"coenzyme binding"	GO:0050662	3	Mcavernosa05499	0
"coenzyme binding"	GO:0050662	3	Mcavernosa05570	0
"coenzyme binding"	GO:0050662	3	Mcavernosa05571	0
"coenzyme binding"	GO:0050662	3	Mcavernosa05719	0
"coenzyme binding"	GO:0050662	3	Mcavernosa05922	0
"coenzyme binding"	GO:0050662	3	Mcavernosa06167	0
"coenzyme binding"	GO:0050662	3	Mcavernosa06181	0
"coenzyme binding"	GO:0050662	3	Mcavernosa12219	0
"coenzyme binding"	GO:0050662	3	Mcavernosa13033	0
"coenzyme binding"	GO:0050662	3	Mcavernosa13320	0
"coenzyme binding"	GO:0050662	3	Mcavernosa13699	0
"coenzyme binding"	GO:0050662	3	Mcavernosa13711	0
"coenzyme binding"	GO:0050662	3	Mcavernosa14150	0
"coenzyme binding"	GO:0050662	3	Mcavernosa28010	0
"coenzyme binding"	GO:0050662	3	Mcavernosa28009	0
"coenzyme binding"	GO:0050662	3	Mcavernosa28058	0
"coenzyme binding"	GO:0050662	3	Mcavernosa28140	0
"coenzyme binding"	GO:0050662	3	Mcavernosa28147	0
"coenzyme binding"	GO:0050662	3	Mcavernosa28808	0
"coenzyme binding"	GO:0050662	3	Mcavernosa08362	0
"coenzyme binding"	GO:0050662	3	Mcavernosa08392	0
"coenzyme binding"	GO:0050662	3	Mcavernosa08397	0
"coenzyme binding"	GO:0050662	3	Mcavernosa08398	0
"coenzyme binding"	GO:0050662	3	Mcavernosa08402	0
"coenzyme binding"	GO:0050662	3	Mcavernosa08401	0
"coenzyme binding"	GO:0050662	3	Mcavernosa09240	0
"coenzyme binding"	GO:0050662	3	Mcavernosa09258	0
"coenzyme binding"	GO:0050662	3	Mcavernosa14681	0
"coenzyme binding"	GO:0050662	3	Mcavernosa11284	0
"coenzyme binding"	GO:0050662	3	Mcavernosa11829	0
"coenzyme binding"	GO:0050662	3	Mcavernosa11843	0
"coenzyme binding"	GO:0050662	3	Mcavernosa11845	0
"coenzyme binding"	GO:0050662	3	Mcavernosa11910	0
"coenzyme binding"	GO:0050662	3	Mcavernosa12055	0
"coenzyme binding"	GO:0050662	3	Mcavernosa12123	0
"coenzyme binding"	GO:0050662	3	Mcavernosa12206	0
"coenzyme binding"	GO:0050662	3	Mcavernosa31744	0
"coenzyme binding"	GO:0050662	3	Mcavernosa31746	0
"coenzyme binding"	GO:0050662	3	Mcavernosa32173	0
"coenzyme binding"	GO:0050662	3	Mcavernosa18573	0
"coenzyme binding"	GO:0050662	3	Mcavernosa18584	0
"coenzyme binding"	GO:0050662	3	Mcavernosa18593	0
"coenzyme binding"	GO:0050662	3	Mcavernosa19020	0
"coenzyme binding"	GO:0050662	3	Mcavernosa06351	0
"coenzyme binding"	GO:0050662	3	Mcavernosa06434	0
"coenzyme binding"	GO:0050662	3	Mcavernosa06816	0
"coenzyme binding"	GO:0050662	3	Mcavernosa06818	0
"coenzyme binding"	GO:0050662	3	Mcavernosa06817	0
"coenzyme binding"	GO:0050662	3	Mcavernosa07051	0
"coenzyme binding"	GO:0050662	3	Mcavernosa19341	0
"coenzyme binding"	GO:0050662	3	Mcavernosa19347	0
"coenzyme binding"	GO:0050662	3	Mcavernosa19624	0
"coenzyme binding"	GO:0050662	3	Mcavernosa22031	0
"coenzyme binding"	GO:0050662	3	Mcavernosa22131	0
"coenzyme binding"	GO:0050662	3	Mcavernosa22282	0
"coenzyme binding"	GO:0050662	3	Mcavernosa15522	0
"coenzyme binding"	GO:0050662	3	Mcavernosa15642	0
"coenzyme binding"	GO:0050662	3	Mcavernosa15820	0
"coenzyme binding"	GO:0050662	3	Mcavernosa15877	0
"coenzyme binding"	GO:0050662	3	Mcavernosa15973	0
"coenzyme binding"	GO:0050662	3	Mcavernosa16263	0
"coenzyme binding"	GO:0050662	3	Mcavernosa16307	0
"coenzyme binding"	GO:0050662	3	Mcavernosa10742	0
"coenzyme binding"	GO:0050662	3	Mcavernosa10763	0
"coenzyme binding"	GO:0050662	3	Mcavernosa10851	0
"coenzyme binding"	GO:0050662	3	Mcavernosa11066	0
"coenzyme binding"	GO:0050662	3	Mcavernosa11195	0
"coenzyme binding"	GO:0050662	3	Mcavernosa09539	0
"coenzyme binding"	GO:0050662	3	Mcavernosa10000	0
"coenzyme binding"	GO:0050662	3	Mcavernosa09997	0
"coenzyme binding"	GO:0050662	3	Mcavernosa09998	0
"coenzyme binding"	GO:0050662	3	Mcavernosa09999	0
"coenzyme binding"	GO:0050662	3	Mcavernosa10041	0
"coenzyme binding"	GO:0050662	3	Mcavernosa10109	0
"coenzyme binding"	GO:0050662	3	Mcavernosa21018	0
"coenzyme binding"	GO:0050662	3	Mcavernosa21107	0
"coenzyme binding"	GO:0050662	3	Mcavernosa21162	0
"coenzyme binding"	GO:0050662	3	Mcavernosa21217	0
"coenzyme binding"	GO:0050662	3	Mcavernosa21471	0
"coenzyme binding"	GO:0050662	3	Mcavernosa21468	0
"coenzyme binding"	GO:0050662	3	Mcavernosa21469	0
"coenzyme binding"	GO:0050662	3	Mcavernosa21483	0
"coenzyme binding"	GO:0050662	3	Mcavernosa21488	0
"coenzyme binding"	GO:0050662	3	Mcavernosa26301	0
"coenzyme binding"	GO:0050662	3	Mcavernosa26443	0
"coenzyme binding"	GO:0050662	3	Mcavernosa26444	0
"coenzyme binding"	GO:0050662	3	Mcavernosa26449	0
"coenzyme binding"	GO:0050662	3	Mcavernosa26548	0
"coenzyme binding"	GO:0050662	3	Mcavernosa26550	0
"coenzyme binding"	GO:0050662	3	Mcavernosa26547	0
"coenzyme binding"	GO:0050662	3	Mcavernosa20551	0
"coenzyme binding"	GO:0050662	3	Mcavernosa20550	0
"coenzyme binding"	GO:0050662	3	Mcavernosa20568	0
"coenzyme binding"	GO:0050662	3	Mcavernosa20734	0
"coenzyme binding"	GO:0050662	3	Mcavernosa20920	0
"coenzyme binding"	GO:0050662	3	Mcavernosa17364	0
"coenzyme binding"	GO:0050662	3	Mcavernosa17449	0
"coenzyme binding"	GO:0050662	3	Mcavernosa17803	0
"coenzyme binding"	GO:0050662	3	Mcavernosa23007	0
"coenzyme binding"	GO:0050662	3	Mcavernosa23010	0
"coenzyme binding"	GO:0050662	3	Mcavernosa23038	0
"coenzyme binding"	GO:0050662	3	Mcavernosa00884	0
"coenzyme binding"	GO:0050662	3	Mcavernosa29991	0
"coenzyme binding"	GO:0050662	3	Mcavernosa30049	0
"coenzyme binding"	GO:0050662	3	Mcavernosa30125	0
"coenzyme binding"	GO:0050662	3	Mcavernosa26209	0
"coenzyme binding"	GO:0050662	3	Mcavernosa23800	0
"coenzyme binding"	GO:0050662	3	Mcavernosa23966	0
"coenzyme binding"	GO:0050662	3	Mcavernosa23970	0
"coenzyme binding"	GO:0050662	3	Mcavernosa27366	0
"coenzyme binding"	GO:0050662	3	Mcavernosa30395	0
"coenzyme binding"	GO:0050662	3	Mcavernosa30473	0
"coenzyme binding"	GO:0050662	3	Mcavernosa30515	0
"coenzyme binding"	GO:0050662	3	Mcavernosa34691	0
"coenzyme binding"	GO:0050662	3	Mcavernosa29370	0
"coenzyme binding"	GO:0050662	3	Mcavernosa29375	0
"coenzyme binding"	GO:0050662	3	Mcavernosa33890	0
"coenzyme binding"	GO:0050662	3	Mcavernosa34261	0
"coenzyme binding"	GO:0050662	3	Mcavernosa33859	0
"coenzyme binding"	GO:0050662	3	Mcavernosa32609	0
"coenzyme binding"	GO:0050662	3	Mcavernosa32880	0
"coenzyme binding"	GO:0050662	3	Mcavernosa32987	0
"coenzyme binding"	GO:0050662	3	Mcavernosa01592	0
"coenzyme binding"	GO:0050662	3	Mcavernosa01768	0
"coenzyme binding"	GO:0050662	3	Mcavernosa01963	0
"coenzyme binding"	GO:0050662	3	Mcavernosa03283	0
"coenzyme binding"	GO:0050662	3	Mcavernosa03435	0
"coenzyme binding"	GO:0050662	3	Mcavernosa03456	0
"coenzyme binding"	GO:0050662	3	Mcavernosa03502	0
"coenzyme binding"	GO:0050662	3	Mcavernosa03676	0
"coenzyme binding"	GO:0050662	3	Mcavernosa03691	0
"coenzyme binding"	GO:0050662	3	Mcavernosa04042	0
"coenzyme binding"	GO:0050662	3	Mcavernosa07245	0
"coenzyme binding"	GO:0050662	3	Mcavernosa07517	0
"coenzyme binding"	GO:0050662	3	Mcavernosa07926	0
"coenzyme binding"	GO:0050662	3	Mcavernosa07927	0
"coenzyme binding"	GO:0050662	3	Mcavernosa24964	0
"coenzyme binding"	GO:0050662	3	Mcavernosa25055	0
"coenzyme binding"	GO:0050662	3	Mcavernosa25159	0
"coenzyme binding"	GO:0050662	3	Mcavernosa25310	0
"coenzyme binding"	GO:0050662	3	Mcavernosa16687	0
"coenzyme binding"	GO:0050662	3	Mcavernosa16766	0
"coenzyme binding"	GO:0050662	3	Mcavernosa16765	0
"coenzyme binding"	GO:0050662	3	Mcavernosa16845	0
"coenzyme binding"	GO:0050662	3	Mcavernosa16873	0
"coenzyme binding"	GO:0050662	3	Mcavernosa17067	0
"coenzyme binding"	GO:0050662	3	Mcavernosa17240	0
"coenzyme binding"	GO:0050662	3	Mcavernosa02210	0
"coenzyme binding"	GO:0050662	3	Mcavernosa02359	0
"coenzyme binding"	GO:0050662	3	Mcavernosa02435	0
"coenzyme binding"	GO:0050662	3	Mcavernosa02440	0
"coenzyme binding"	GO:0050662	3	Mcavernosa03122	0
"coenzyme binding"	GO:0050662	3	Mcavernosa30881	0
"coenzyme binding"	GO:0050662	3	Mcavernosa30877	0
"coenzyme binding"	GO:0050662	3	Mcavernosa31122	0
"coenzyme binding"	GO:0050662	3	Mcavernosa31386	0
"coenzyme binding"	GO:0050662	3	Mcavernosa31410	0
"coenzyme binding"	GO:0050662	3	Mcavernosa31429	0
"obsolete RNA polymerase II transcription factor activity, TBP-class protein binding, involved in preinitiation complex assembly"	GO:0001129;GO:0001132	-1	Mcavernosa27915	0
"obsolete RNA polymerase II transcription factor activity, TBP-class protein binding, involved in preinitiation complex assembly"	GO:0001129;GO:0001132	-1	Mcavernosa27916	0
"obsolete RNA polymerase II transcription factor activity, TBP-class protein binding, involved in preinitiation complex assembly"	GO:0001129;GO:0001132	-1	Mcavernosa19650	7.80851886131031
"obsolete RNA polymerase II transcription factor activity, TBP-class protein binding, involved in preinitiation complex assembly"	GO:0001129;GO:0001132	-1	Mcavernosa22776	0
"obsolete RNA polymerase II transcription factor activity, TBP-class protein binding, involved in preinitiation complex assembly"	GO:0001129;GO:0001132	-1	Mcavernosa09674	0
"carbohydrate kinase activity"	GO:0019200	5	Mcavernosa08541	0
"carbohydrate kinase activity"	GO:0019200	5	Mcavernosa14438	0
"carbohydrate kinase activity"	GO:0019200	5	Mcavernosa18213	0
"carbohydrate kinase activity"	GO:0019200	5	Mcavernosa21713	0
"carbohydrate kinase activity"	GO:0019200	5	Mcavernosa18045	0
"carbohydrate kinase activity"	GO:0019200	5	Mcavernosa25974	0
"carbohydrate kinase activity"	GO:0019200	5	Mcavernosa04107	0
"carbohydrate kinase activity"	GO:0019200	5	Mcavernosa07897	0
"carbohydrate kinase activity"	GO:0019200	5	Mcavernosa16893	0
"chaperone binding"	GO:0051087	3	Mcavernosa05670	0
"chaperone binding"	GO:0051087	3	Mcavernosa06070	0
"chaperone binding"	GO:0051087	3	Mcavernosa13061	0
"chaperone binding"	GO:0051087	3	Mcavernosa13062	0
"chaperone binding"	GO:0051087	3	Mcavernosa13319	0
"chaperone binding"	GO:0051087	3	Mcavernosa28377	0
"chaperone binding"	GO:0051087	3	Mcavernosa08744	0
"chaperone binding"	GO:0051087	3	Mcavernosa08743	0
"chaperone binding"	GO:0051087	3	Mcavernosa14547	0
"chaperone binding"	GO:0051087	3	Mcavernosa14548	0
"chaperone binding"	GO:0051087	3	Mcavernosa14732	0
"chaperone binding"	GO:0051087	3	Mcavernosa14729	0
"chaperone binding"	GO:0051087	3	Mcavernosa32085	0
"chaperone binding"	GO:0051087	3	Mcavernosa32221	0
"chaperone binding"	GO:0051087	3	Mcavernosa18212	0
"chaperone binding"	GO:0051087	3	Mcavernosa18721	0
"chaperone binding"	GO:0051087	3	Mcavernosa18764	0
"chaperone binding"	GO:0051087	3	Mcavernosa19136	0
"chaperone binding"	GO:0051087	3	Mcavernosa19134	0
"chaperone binding"	GO:0051087	3	Mcavernosa19687	0
"chaperone binding"	GO:0051087	3	Mcavernosa22428	0
"chaperone binding"	GO:0051087	3	Mcavernosa22555	0
"chaperone binding"	GO:0051087	3	Mcavernosa10447	0
"chaperone binding"	GO:0051087	3	Mcavernosa10448	0
"chaperone binding"	GO:0051087	3	Mcavernosa10541	0
"chaperone binding"	GO:0051087	3	Mcavernosa09328	0
"chaperone binding"	GO:0051087	3	Mcavernosa09335	0
"chaperone binding"	GO:0051087	3	Mcavernosa21108	0
"chaperone binding"	GO:0051087	3	Mcavernosa21116	0
"chaperone binding"	GO:0051087	3	Mcavernosa21109	0
"chaperone binding"	GO:0051087	3	Mcavernosa21113	0
"chaperone binding"	GO:0051087	3	Mcavernosa21114	0
"chaperone binding"	GO:0051087	3	Mcavernosa21111	0
"chaperone binding"	GO:0051087	3	Mcavernosa21112	0
"chaperone binding"	GO:0051087	3	Mcavernosa21110	0
"chaperone binding"	GO:0051087	3	Mcavernosa21123	0
"chaperone binding"	GO:0051087	3	Mcavernosa21120	0
"chaperone binding"	GO:0051087	3	Mcavernosa21119	0
"chaperone binding"	GO:0051087	3	Mcavernosa21124	0
"chaperone binding"	GO:0051087	3	Mcavernosa26482	0
"chaperone binding"	GO:0051087	3	Mcavernosa20751	0
"chaperone binding"	GO:0051087	3	Mcavernosa20752	0
"chaperone binding"	GO:0051087	3	Mcavernosa00586	0
